Tamanio Matrix,Promedio Tiempo LU,Promedio Error LU,Promedio Tiempo JMat,Promedio Error JMat,Promedio Tiempo GSMat,Promedio Error GSMat,Promedio Tiempo JSum,Promedio Error JSum,Promedio Tiempo GSSum,Promedio Error GSSum
10,1.16e-06,1.24243e-18,7.12e-06,12.4507,4.25e-06,1.19856e-06,4.49e-06,12.4507,4.42e-06,1.19103e-18
50,2.852e-05,7.4237e-19,0.00013986,26.8289,0.00011205,9.64466e-07,0.00012191,26.8289,0.00010865,7.37405e-19
100,0.00012146,6.08692e-19,0.00092805,42.0137,0.00089435,1.07724e-06,0.00050204,42.0137,0.00046216,6.04737e-19
250,0.00135488,4.08306e-19,0.0109063,75.2012,0.0103532,1.56782e-06,0.00375791,75.2012,0.00352893,3.937e-19
500,0.00904179,3.40426e-19,0.0696366,102.594,0.0669234,1.22998e-06,0.0164559,102.594,0.0152667,3.1829e-19
750,0.0289854,3.04311e-19,0.19528,115.264,0.190805,1.12825e-06,0.0426937,115.264,0.0391449,2.84343e-19
1000,0.0649025,3.13353e-19,0.435692,134.686,0.41596,9.9887e-07,0.110839,134.686,0.111046,2.87308e-19
1500,0.203683,3.05917e-19,1.41086,180.069,1.35431,1.04709e-06,0.315552,180.069,0.305607,2.78063e-19
2000,0.520504,2.69125e-19,3.4993,199.884,3.37369,1.13839e-06,1.27267,199.884,1.28667,2.42433e-19
2500,0.881533,2.56521e-19,6.14431,215.983,6.00968,1.28748e-06,2.21829,215.983,2.25751,2.29459e-19
3000,1.41325,2.77548e-19,9.88284,259.055,9.73265,1.13933e-06,3.3589,259.055,3.30104,2.46218e-19
