Tamaño de la matriz,Número de iteraciones,Tiempos LU,Errores LU,Tiempos JMat,Errores JMat,Tiempos GSMat,Errores GSMat,Tiempos JSum,Errores JSum,Tiempos GSSum,Errores GSSum
10,10,1.7e-05,2.79064e-19,9e-06,0.00138198,8e-06,3.47199e-05,1e-06,0.00138198,1e-06,1.40009e-09
10,10,1e-06,1.96955e-18,5e-06,25.1818,4e-06,3.72231e-05,1e-06,25.1818,1e-06,3.72231e-05
10,10,1e-06,1.67964e-18,4e-06,0.00611756,3e-06,7.40491e-06,1e-06,0.00611756,1e-06,2.95024e-09
10,10,1e-06,1.74822e-18,4e-06,18.8858,4e-06,0.000113672,1e-06,18.8858,1e-06,0.000113672
10,10,1e-06,1.33669e-18,4e-06,9.43634,4e-06,3.82428e-05,0,9.43634,1e-06,3.82428e-05
10,10,1e-06,0,4e-06,28.3152,4e-06,1.2226e-05,1e-06,28.3152,1e-06,1.2226e-05
10,10,1e-06,1.81422e-18,4e-06,3.14055,3e-06,8.91128e-06,1e-06,3.14055,1e-06,2.74882e-07
10,10,1e-06,1.27826e-18,4e-06,0.00362951,3e-06,1.50238e-05,1e-06,0.00362951,1e-06,8.32014e-10
10,10,1e-06,3.03044e-19,4e-06,18.8852,4e-06,4.97109e-06,1e-06,18.8852,1e-06,4.97109e-06
10,10,1e-06,6.07336e-19,4e-06,15.7204,4e-06,1.89926e-05,1e-06,15.7204,1e-06,1.89926e-05
10,10,1e-06,4.87891e-19,4e-06,6.29505,4e-06,6.67177e-06,0,6.29505,1e-06,6.67177e-06
10,10,1e-06,0,4e-06,9.44302,4e-06,1.06337e-05,1e-06,9.44302,1e-06,1.06337e-05
10,10,1e-06,7.21219e-19,4e-06,3.14699,4e-06,1.14954e-05,0,3.14699,1e-06,2.83377e-06
10,10,1e-06,4.37056e-19,4e-06,3.14653,4e-06,1.68198e-05,1e-06,3.14653,1e-06,4.46504e-06
10,10,1e-06,9.88127e-19,4e-06,3.14401,3e-06,1.40053e-05,1e-06,3.14401,1e-06,4.43757e-07
10,10,1e-06,6.36825e-19,4e-06,28.3278,4e-06,1.23133e-05,1e-06,28.3278,1e-06,1.23133e-05
10,10,1e-06,1.20244e-18,4e-06,9.4379,3e-06,1.06369e-05,1e-06,9.4379,1e-06,3.24132e-07
10,10,1e-06,1.49053e-18,4e-06,3.14391,4e-06,1.66092e-05,1e-06,3.14391,1e-06,4.31424e-06
10,10,1e-06,1.56366e-18,4e-06,9.43837,4e-06,6.30614e-06,1e-06,9.43837,1e-06,6.30614e-06
10,10,1e-06,1.23618e-18,4e-06,3.14207,4e-06,1.82725e-05,1e-06,3.14207,1e-06,3.74096e-06
10,10,1e-06,3.08188e-18,4e-06,3.13937,4e-06,7.88459e-06,1e-06,3.13937,1e-06,7.88459e-06
10,10,1e-06,1.40946e-18,4e-06,6.2903,4e-06,2.47544e-05,1e-06,6.2903,1e-06,2.47544e-05
10,10,1e-06,2.46283e-18,4e-06,9.43604,4e-06,1.08118e-05,1e-06,9.43604,1e-06,1.08118e-05
10,10,1e-06,1.13841e-18,4e-06,15.7298,4e-06,1.38526e-05,1e-06,15.7298,1e-06,1.38526e-05
10,10,1e-06,1.47068e-18,4e-06,18.8815,4e-06,1.57658e-05,0,18.8815,1e-06,1.57658e-05
10,10,1e-06,2.17922e-18,4e-06,25.1703,4e-06,7.15103e-06,1e-06,25.1703,1e-06,7.15103e-06
10,10,1e-06,2.81893e-18,4e-06,6.28912,4e-06,5.99897e-06,0,6.28912,1e-06,5.99897e-06
10,10,1e-06,5.8197e-19,4e-06,15.7378,4e-06,1.9091e-05,1e-06,15.7378,1e-06,2.65298e-06
