Tamaño de la matriz,Número de Condición,Número de iteraciones,Tiempos LU,Errores LU,Tiempos JMat,Errores JMat,Tiempos GSMat,Errores GSMat,Tiempos JSum,Errores JSum,Tiempos GSSum,Errores GSSum
16,58.8143,25,5e-06,1.98018e-14,2.3e-05,1.30273e+25,1.5e-05,1.76739e+92,5e-06,1.30273e+25,5e-06,1.76739e+92
16,140.629,25,4e-06,2.93303e-14,1.8e-05,9.43721e+46,1.3e-05,8.75411e+109,5e-06,9.43721e+46,5e-06,8.75411e+109
16,393.846,25,4e-06,0,1.3e-05,0,9e-06,0,0,0,5e-06,0
16,170.01,25,4e-06,5.30475e-15,1.5e-05,2.84916e+26,1.2e-05,5.05057e+94,5e-06,2.84916e+26,5e-06,5.05057e+94
16,105.135,25,5e-06,1.43146e-14,1.6e-05,9.8924e+23,1.3e-05,3.96625e+65,5e-06,9.8924e+23,5e-06,3.96625e+65
16,1741.17,25,5e-06,2.14939e-13,1.6e-05,3.22154e+20,1.3e-05,3.82061e+70,2e-05,3.22154e+20,5e-06,3.82061e+70
16,86.4978,25,4e-06,8.47078e-15,1.6e-05,1.17976e+25,1.3e-05,3.34119e+73,5e-06,1.17976e+25,5e-06,3.34119e+73
16,114.771,25,7e-06,3.86358e-14,2.6e-05,7.07869e+42,2.3e-05,inf,1e-05,7.07869e+42,9e-06,inf
16,160.299,25,4e-06,1.08661e-14,1.6e-05,7.99703e+26,1.3e-05,8.71082e+85,5e-06,7.99703e+26,5e-06,8.71082e+85
16,53.3276,25,2.1e-05,6.13712e-15,2.9e-05,1.51422e+23,1.3e-05,1.22027e+98,5e-06,1.51422e+23,5e-06,1.22027e+98
16,251.319,25,5e-06,2.34843e-14,1.6e-05,6.22478e+19,1.2e-05,1.26773e+73,5e-06,6.22478e+19,5e-06,1.26773e+73
16,1541.6,25,5e-06,3.2501e-13,1.7e-05,3.17346e+34,1.3e-05,9.1778e+106,5e-06,3.17346e+34,5e-06,9.1778e+106
16,76.4736,25,7e-06,1.9082e-14,2.6e-05,1.0075e+24,2.5e-05,5.26721e+95,1.2e-05,1.0075e+24,2.5e-05,5.26721e+95
16,122.351,25,5e-06,1.37453e-14,1.5e-05,5.5912e+23,1.3e-05,1.01016e+93,5e-06,5.5912e+23,5e-06,1.01016e+93
16,69.9038,25,1.9e-05,2.64671e-14,1.6e-05,9.32907e+36,1.3e-05,inf,5e-06,9.32907e+36,5e-06,inf
16,47.4061,25,5e-06,4.74417e-15,1.6e-05,6.66224e+44,1.2e-05,8.40082e+120,5e-06,6.66224e+44,5e-06,8.40082e+120
16,127.743,25,4e-06,1.663e-14,1.5e-05,1.13356e+28,1.3e-05,2.88271e+93,5e-06,1.13356e+28,5e-06,2.88271e+93
16,143.194,25,5e-06,4.98736e-15,1.6e-05,2.20148e+24,1.3e-05,2.4632e+72,5e-06,2.20148e+24,5e-06,2.4632e+72
16,73.3037,25,4e-06,1.17385e-14,6.4e-05,6.33144e+32,2.4e-05,9.03813e+133,5e-06,6.33144e+32,5e-06,9.03813e+133
16,71.0582,25,4e-06,2.91514e-14,1.7e-05,2.64273e+25,2.6e-05,8.39932e+121,5e-06,2.64273e+25,5e-06,8.39932e+121
16,81.1126,25,4e-06,3.04615e-14,1.7e-05,2.26783e+29,1.3e-05,2.81301e+84,5e-06,2.26783e+29,5e-06,2.81301e+84
16,355.248,25,4e-06,1.59635e-13,1.6e-05,2.11933e+35,1.3e-05,1.24847e+144,5e-06,2.11933e+35,5e-06,1.24847e+144
16,426.174,25,4e-06,7.40138e-14,1.5e-05,5.74467e+24,1.2e-05,2.43982e+80,5e-06,5.74467e+24,4e-06,2.43982e+80
16,4478.34,25,4e-06,1.44679e-12,1.6e-05,3.39371e+22,1.2e-05,7.11366e+82,5e-06,3.39371e+22,5e-06,7.11366e+82
16,125.254,25,8e-06,2.1079e-14,4e-05,1.47606e+20,1.5e-05,8.63438e+40,1.9e-05,1.47606e+20,5e-06,8.63438e+40
16,122.241,25,1.8e-05,2.43075e-14,1.7e-05,2.50801e+23,1.3e-05,5.50237e+91,5e-06,2.50801e+23,5e-06,5.50237e+91
16,77.8456,25,5e-06,1.34699e-14,1.6e-05,8.82469e+36,1.2e-05,1.23478e+116,5e-06,8.82469e+36,5e-06,1.23478e+116
16,210.275,25,4e-06,4.12343e-14,3.1e-05,1.11684e+19,1.3e-05,6.63342e+74,5e-06,1.11684e+19,1.9e-05,6.63342e+74
16,384.907,25,4e-06,1.06838e-13,1.6e-05,2.31483e+38,1.3e-05,1.81706e+87,5e-06,2.31483e+38,5e-06,1.81706e+87
16,66.145,25,5e-06,5.69199e-15,1.6e-05,1.49436e+37,1.3e-05,4.96808e+131,5e-06,1.49436e+37,5e-06,4.96808e+131
16,210.175,25,4e-06,0,1.5e-05,4.35411e+40,1.2e-05,9.70364e+127,5e-06,4.35411e+40,4e-06,9.70364e+127
16,554.243,25,4e-06,1.31105e-13,2.9e-05,1.14242e+25,1.3e-05,2.07001e+114,5e-06,1.14242e+25,5e-06,2.07001e+114
16,189.208,25,4e-06,0,1.7e-05,3.56655e+29,1.3e-05,2.74201e+114,5e-06,3.56655e+29,5e-06,2.74201e+114
16,94.1131,25,4e-06,4.94417e-14,1.6e-05,4.00356e+23,1.2e-05,1.2027e+87,5e-06,4.00356e+23,5e-06,1.2027e+87
16,157.544,25,4e-06,0,1.6e-05,2.29872e+29,1.2e-05,7.32708e+79,5e-06,2.29872e+29,5e-06,7.32708e+79
16,58.6931,25,4e-06,1.64726e-14,1.6e-05,7.83017e+31,1.7e-05,inf,4.2e-05,7.83017e+31,5e-06,inf
16,295.332,25,8e-06,4.54418e-14,3.1e-05,6.8787e+28,2.6e-05,1.83451e+104,1.4e-05,6.8787e+28,1.4e-05,1.83451e+104
16,96.578,25,5e-06,3.47136e-14,1.7e-05,1.14726e+30,1.2e-05,inf,5e-06,1.14726e+30,5e-06,inf
16,210.837,25,4e-06,0,1.6e-05,8.27338e+44,1.2e-05,2.61565e+142,5e-06,8.27338e+44,5e-06,2.61565e+142
16,57.936,25,2e-05,3.32948e-14,2.1e-05,3.59325e+23,1.3e-05,5.37098e+87,6e-06,3.59325e+23,5e-06,5.37098e+87
16,148.236,25,8e-06,2.47258e-14,2.8e-05,6.41463e+28,2.5e-05,1.0016e+87,1e-05,6.41463e+28,2.3e-05,1.0016e+87
16,53.0688,25,7e-06,5.49478e-15,1.9e-05,4.15747e+34,2.1e-05,8.23365e+124,1.3e-05,4.15747e+34,7e-06,8.23365e+124
16,168.939,25,4e-06,1.07986e-14,1.6e-05,2.85088e+18,1.2e-05,3.8912e+70,5e-06,2.85088e+18,5e-06,3.8912e+70
16,503.983,25,4e-06,8.79252e-14,1.6e-05,4.6672e+30,1.3e-05,4.45227e+104,5e-06,4.6672e+30,5e-06,4.45227e+104
16,74.4317,25,5e-06,2.53364e-14,1.7e-05,7.56029e+23,1.2e-05,1.4342e+86,5e-06,7.56029e+23,5e-06,1.4342e+86
16,67.5542,25,8e-06,1.10119e-14,2.8e-05,3.78418e+23,2.4e-05,1.16446e+82,1.3e-05,3.78418e+23,1.2e-05,1.16446e+82
16,129.213,25,5e-06,8.49871e-14,1.6e-05,3.40178e+24,1.2e-05,1.15267e+102,5e-06,3.40178e+24,5e-06,1.15267e+102
16,118.185,25,2e-05,2.66565e-14,2.5e-05,8.87057e+45,1.9e-05,inf,8e-06,8.87057e+45,8e-06,inf
16,50.5843,25,4e-06,1.19245e-14,1.6e-05,1.18667e+22,1.2e-05,3.24946e+84,5e-06,1.18667e+22,6e-06,3.24946e+84
16,62.7658,25,4e-06,9.29957e-15,3.1e-05,5.03318e+27,2.6e-05,2.85014e+90,5e-06,5.03318e+27,2.1e-05,2.85014e+90
16,249.518,25,7e-06,1.03321e-13,2.5e-05,5.03203e+28,1.4e-05,5.60893e+129,5e-06,5.03203e+28,5e-06,5.60893e+129
16,70.0016,25,4e-06,2.73883e-14,1.6e-05,4.39229e+24,1.3e-05,6.58623e+113,5e-06,4.39229e+24,5e-06,6.58623e+113
16,181.469,25,4e-06,0,1.5e-05,1.31874e+25,1.3e-05,1.04231e+96,5e-06,1.31874e+25,5e-06,1.04231e+96
16,286.616,25,7e-06,7.09088e-14,2.8e-05,2.20522e+22,1.6e-05,8.74671e+72,5e-06,2.20522e+22,5e-06,8.74671e+72
16,46.9142,25,8e-06,1.93248e-14,2.5e-05,1.20748e+23,2.2e-05,2.07163e+78,9e-06,1.20748e+23,3.4e-05,2.07163e+78
16,128.186,25,5e-06,9.83033e-15,3.1e-05,5.71982e+31,1.3e-05,2.7056e+125,1.9e-05,5.71982e+31,5e-06,2.7056e+125
16,45.8425,25,4e-06,3.14251e-14,1.6e-05,9.90436e+32,1.2e-05,1.81474e+130,5e-06,9.90436e+32,5e-06,1.81474e+130
16,82.1743,25,9e-06,4.64413e-14,1.8e-05,7.49401e+32,2.8e-05,4.36036e+132,5e-06,7.49401e+32,5e-06,4.36036e+132
16,59.5082,25,4e-06,4.10266e-15,1.6e-05,3.19865e+28,1.2e-05,4.50556e+97,5e-06,3.19865e+28,5e-06,4.50556e+97
16,2077.7,25,4e-06,2.60198e-13,1.5e-05,4.67809e+28,1.2e-05,2.6459e+115,5e-06,4.67809e+28,5e-06,2.6459e+115
16,346.514,25,4e-06,1.32629e-13,1.6e-05,2.11313e+21,1.2e-05,6.73809e+75,5e-06,2.11313e+21,6e-06,6.73809e+75
